status,group,open_ended,sentiment,pos_hits,neg_hits
Domestic Chinese student,mainland,Social experience mainly affected my academic inspiration and motivation. More close friends to communicate on academy would be of help.,positive,2,0
Domestic Chinese student,mainland,I don’t know.,unscorable,0,0
International student,non_mainland,"No effect, everythings ok",positive,1,0
International student,non_mainland,Supporting international students with their career,neutral,0,0
Domestic Chinese student,mainland,No ideas currently,unscorable,0,0
"Hong Kong, Macau, or Taiwan student",non_mainland,Idk,unscorable,0,0
Domestic Chinese student,mainland,i don't know,unscorable,0,0
Domestic Chinese student,mainland,Good way. Improve my teamwork ability,positive,2,0
"Hong Kong, Macau, or Taiwan student",non_mainland,"Small groups and people do not have the same class with you, afraid to search for help because everyone have their own schedule and struggles",negative,0,1
Domestic Chinese student,mainland,It has enriched my academic life through collaborative learning and peer support.,positive,2,0
Domestic Chinese student,mainland,Learning English,unscorable,0,0
Domestic Chinese student,mainland,not quite,unscorable,0,0
Domestic Chinese student,mainland,now is well,positive,1,0
Domestic Chinese student,mainland,No,unscorable,0,0
Domestic Chinese student,mainland,.,unscorable,0,0
Domestic Chinese student,mainland,"Good social, good mood, more motivation to learn",positive,3,0
Domestic Chinese student,mainland,Talking to friends about our academic interests and experiences help me find my interests and plan study path better,positive,2,0
Domestic Chinese student,mainland,"Please establish some elective secondary language courses like Spanish, Germany, Russian or Japanese, that would be helpful!",positive,2,0
Domestic Chinese student,mainland,idk,unscorable,0,0
Domestic Chinese student,mainland,i dont know,unscorable,0,0
Domestic Chinese student,mainland,Most social interactions are spontaneous and I found a lot of people (including myself) unwilling to initiate new social contacts. I hope there will be more planned activities or circumstances that are attracted enough to promote more social contacts.,neutral,0,0
Domestic Chinese student,mainland,I think it doesn't matter because I am only depending on myself,neutral,0,0
Domestic Chinese student,mainland,I can discuss the course with my friend so that I will not feel lonely or very hard to learn a course.,negative,1,2
International student,non_mainland,"In my opinion this university is currently not equipped to host international students. There are many instances of inadvertent discrimination and exclusion (eg. being refused entry to student societies due to not speaking Chinese, many training sessions and talks are in Chinese only resulting in loss of opportunities, unable to be on the student union commitee, missing out on voting for the best teacher as the link was only shared in Chinese etc., students struggling to get internships or lab experience due to noone feeling comfortable supervising in English) I feel that my ability to learn is severely impaired. It is hard to join in discussions in the lab or have discussions about my work with colleagues or collaborators. I know more about my friends work abroad than I know about the work of my fellow lab members. This is not due to malice, my lab mates are all very kind, but the language barrier is huge and makes it difficult. The university is also not doing enough to support international students. There is inadequate support prior to joining (eg. no checklists are provided about what to prepare and what apps to get) and after joining. It would be good to create a guide for international students explaining to them about life here eg. about drinking water, how to get food, pay, information about the medical system and about precautions to take (eg. rabies is endemic etc). International students are extremely vulnerable and the university is currently not helping enough. Even at the HKUST (GZ) clinic it can be complicated if you do not speak Chinese. I know that none of this is a deliberate attempt to exclude but at times it can be extremely frustrating and I can't help but feel that some of these points should have been thought through and have been addressed. I have considered leaving because of all this but I like my research project and my supervisor and I want to finish my degree.",negative,7,9
Domestic Chinese student,mainland,Impacts on academic plans occurred. More entertaining public activities will help decline isolation,neutral,0,0
Domestic Chinese student,mainland,Becoming more independent,neutral,0,0
International student,non_mainland,if i could talk to more people that could help me in more research colaboration but being and foreign student i fell bit disconnected with local people and no one from internation community works in the similar research fields of mine since the international phd students are very very few in numbers,negative,0,1
Domestic Chinese student,mainland,,unscorable,0,0
Domestic Chinese student,mainland,Idk,unscorable,0,0
Domestic Chinese student,mainland,more diverse than the previous,neutral,0,0
"Hong Kong, Macau, or Taiwan student",non_mainland,"Not really, I study by myself",unscorable,0,0
International student,non_mainland,"It feels very lonely and very boring being alone most of the time. What can be improved? I think the only is to conduct more activities to create more opportunities for interaction. I believe meaningful connections can be achieved when people work on something together, whether it be winning a game or creating just a small output. I think it would be nice to have team building activities (I can help organize it or suggest some good ideas :) ).",neutral,3,3
International student,non_mainland,Speak more english please 老板,neutral,0,0
Domestic Chinese student,mainland,I’m fine for now.,positive,1,0
Domestic Chinese student,mainland,It's nkt bad. I have a l lot of friend's here and I feel belong to here.,neutral,1,1
International student,non_mainland,Encourage more Chinese students to speak English only maybe by recruiting more foreign professor,neutral,0,0
Domestic Chinese student,mainland,"In the peers aspects, i am grateful for the friends i have made and the support from them. It is easy for me to reach out to them when i encounters difficulity in courses. What's more, i can form course project team with them. Besides course, i also have friends that share same hobby such as badminton, gyming, KTV, riding bike and so on. This also enrich my school life and boost my efficiency when studying. One thing i should do better is to connect closely with professors, this can help me draw a more clear blue map of my future academic plan.",positive,8,0
International student,non_mainland,-,unscorable,0,0
International student,non_mainland,Better english,positive,1,0
"Hong Kong, Macau, or Taiwan student",non_mainland,Knowing more people so I can gain more intel on courses that i might take and courses that I'm taking.,neutral,0,0
International student,non_mainland,"Maybe because I didn’t have any study groups or study buddy, actually worsen my performance but I’m not sure about it. I think if uni tried harder to make people from different backgrounds more connected it would help",negative,0,1
International student,non_mainland,Maybe make clubs in English,neutral,0,0
Domestic Chinese student,mainland,"Since my surrounding are all doing AI stuff, We can easily talk with them about the research, which is better for my academic",positive,1,0
Domestic Chinese student,mainland,taking the class,unscorable,0,0
"Hong Kong, Macau, or Taiwan student",non_mainland,"I do group project with fixed people, I don’t know",neutral,0,0
Domestic Chinese student,mainland,make more friend's from different culture backgrounds,neutral,0,0
Domestic Chinese student,mainland,It's hard for me to find an exact experience that affected my academic life,negative,0,1
"Hong Kong, Macau, or Taiwan student",non_mainland,Everything has been going well so far.,positive,1,0
Domestic Chinese student,mainland,My friend invite me to study at library together and that improves my performance at the exams.,positive,1,0
International student,non_mainland,improve my spoken english,positive,1,0
Domestic Chinese student,mainland,"I think it is good to do research with people I am familiar with, like my friends. And luckily, I do make some good friends here. About the change, I have no idea, I think I am good with present.",positive,6,0
Domestic Chinese student,mainland,Working with classmates from diverse cultural backgrounds has significantly enhanced my English communication skills and boosted my self‐confidence.,neutral,0,0
Domestic Chinese student,mainland,i am getting used to stay alone,negative,0,1
International student,non_mainland,"Group projects become more difficult, enforcing the use of English",negative,0,1
Domestic Chinese student,mainland,emm,unscorable,0,0
Domestic Chinese student,mainland,"Summer camp opened my horizon a lot, I love to meet different people and talk. I would love to have language courses like German, Russia and others. It will be fantastic! I love learning languages",positive,4,0
"Hong Kong, Macau, or Taiwan student",non_mainland,being friends and studying with my roommates has improved my score,positive,2,0
